Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,2/4,,A,,59N125020243,UNP aDB-1210AX,59-65444-0010,A1,2/10,1/20,16,,0,2.22,2.22,0.5920000000000001,60,85,2025-02-07 00:00:00,,,,,8,2024-12-26 00:00:00,,重要工單,
,,,,,1/24,,A,,59N125020060,COM Port Module,59-79208-0010,A2,2/11,1/17,126,,6.7,7.2,13.9,29.19,60,89.19,2025-02-07 00:00:00,,,,,6,2024-12-25 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1423.2066666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,1/20,,E,,55E125020183,Aristocrat Gen10 Carrier,55-77522-002E,A2,2/8,1/23,40,200,27.5,38.8,66.3,44.2,0,44.2,2025-02-07 00:00:00,68,,,Kim,1,2024-12-28 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,,,50,,,,,,,,,,
,,,,,1/20,,E,,91N125020213,T650QVN07.5/55.65T55.S71/EC code: 06,91-E0055-0010,A1,2/12,2/6,2020,,0,6,6,202,0,202,2025-02-07 00:00:00,252.5,,,,1,2024-12-30 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,,,50,,,,,,,,,,
,,,,,2/7,,E,,91N125020212,T650QVN07.5/55.65T55.S70/EC code: 04,91-E0054-0010,A1,2/12,2/6,2020,,0,6,6,202,0,202,2025-02-07 00:00:00,252.5,,,,1,2024-12-30 00:00:00,,重要工單,
,,,,,,,,2/7,,,,,,,,,,,Total,,,548.2,673,,,,,,,,,
,,,,,,,,,夜班開線8小時,,,,,,,,,,,,,240,,,,,,,,,,
,,,,,1/23,,B,,59N124120453,LEC-iMX8MM-Q-2G-32G-ER/TA,59-72517-1510,A1,2/12,2/5,200,,41.9,32.4,74.3,247.66666666666666,40,287.66666666666663,2025-02-08 00:00:00,,,,純SMT(2/10 上午接測),2,2024-12-17 00:00:00,,,
,,,,,,,B,,55N125010260,AmITX-KB-G-Q170/ITS i5,55-7A104-2160,A3,2/10,1/23,150,,65.93,58.59,124.52000000000001,311.3,40,351.3,2025-02-08 00:00:00,,,,,1,2025-01-07 00:00:00,,重要工單,
